userid,username,name,password,college,type
1,abhidhajain456@gmail.com,abhidha,aaaaaa,iiiit,admin
2,abhidhajain456@gmail.com,abhi,aaaaaa,iiit,participant
3,yash@gmail.com,yash,aa,iiit,participant
4,066BNH4@gmail.com,066BNH4,qwerty,IIITH,admin
5,HZJMJOK@gmail.com,HZJMJOK,qwerty,IIITH,admin
6,M86XRRE@gmail.com,M86XRRE,qwerty,IIITH,admin
7,3YRHDVZ@gmail.com,3YRHDVZ,qwerty,IIITH,admin
8,7HU7TN9@gmail.com,7HU7TN9,qwerty,IIITH,admin
9,9WFMAWK@gmail.com,9WFMAWK,qwerty,IIITH,admin
10,R65UQ6L@gmail.com,R65UQ6L,qwerty,IIITH,admin
11,GB9ZSC6@gmail.com,GB9ZSC6,qwerty,IIITH,admin
12,5NV337J@gmail.com,5NV337J,qwerty,IIITH,admin
13,HZPYF42@gmail.com,HZPYF42,qwerty,IIITH,admin
14,KK6RK1J@gmail.com,KK6RK1J,qwerty,IIITH,admin
15,99TVA6Q@gmail.com,99TVA6Q,qwerty,IIITH,admin
16,3QLLKRO@gmail.com,3QLLKRO,qwerty,IIITH,admin
17,76CKTMH@gmail.com,76CKTMH,qwerty,IIITH,admin
18,BDKPB98@gmail.com,BDKPB98,qwerty,IIITH,admin
19,U8K3VOF@gmail.com,U8K3VOF,qwerty,IIITH,admin
20,LNPCZLC@gmail.com,LNPCZLC,qwerty,IIITH,admin
21,L8TL3KJ@gmail.com,L8TL3KJ,qwerty,IIITH,admin
22,OXIUB6G@gmail.com,OXIUB6G,qwerty,IIITH,participant
